id,date,degree,semester,course,age,lectures_completed,device_usage,notes,side_usage,pages_usage,color,color_usage,printing_reason,printing_location,printing_decision,printing_amount
26,2025-05-22,master,7,Other,25,7,tablet,digitally,double-sided,4,black-and-white,lecture slides,annotation,university,convenience,201 - 300
27,2025-05-22,bachelor,6,Engineering,23,5,laptop,paper,double-sided,1,black-and-white,old exams,exam preparation,university,none,101 - 200
27,2025-05-22,bachelor,6,Engineering,23,5,laptop,paper,double-sided,1,black-and-white,old exams,exam preparation,university,other,101 - 200
28,2025-05-22,master,5,Marketing,22,4,desktop,digitally,one-sided,1,black-and-white,cheatsheet for exam,exam preparation,home,convenience,51 - 100
28,2025-05-22,master,5,Marketing,22,4,desktop,digitally,one-sided,1,black-and-white,cheatsheet for exam,exam preparation,university,convenience,51 - 100
29,2025-05-22,master,2,Natural Science,24,5,laptop,digitally,double-sided,2,black-and-white,old exams,reading comfort,university,environmental concerns,51 - 100
29,2025-05-22,master,2,Natural Science,24,5,laptop,digitally,double-sided,2,black-and-white,notes,reading comfort,university,environmental concerns,51 - 100
29,2025-05-22,master,2,Natural Science,24,5,laptop,digitally,double-sided,2,black-and-white,research papers,reading comfort,university,environmental concerns,51 - 100
30,2025-05-23,bachelor,4,Computer Science,22,7,tablet,digitally,double-sided,1,black-and-white,cheatsheet for exam,exam preparation,university,cost,11 - 50
30,2025-05-23,bachelor,4,Computer Science,22,7,tablet,digitally,double-sided,1,black-and-white,cheatsheet for exam,exam preparation,university,convenience,11 - 50
